Space ID,space_name,space_network,space_domain,space_strategies
yuihatano.eth,yuihatano,137,,"[{'type': 'erc20-balance-of', 'address': '0xD6DF932A45C0f255f85145f286eA0b292B21C90B', 'network': '137'}]"
888123.eth,88AAVEDAO,137,,"[{'type': 'erc20-balance-of', 'address': '0x8df3aad3a84da6b69a4da8aec3ea40d9091b2ac4', 'network': '137'}]"
aave.eth,Aave,1,signal.aave.com,"[{'type': 'erc20-balance-of', 'address': '0xffc97d72e13e01096502cb8eb52dee56f74dad7b', 'network': '1'}, {'type': 'governanceStrategy', 'address': '0xb7e383ef9b1e9189fc0f71fb30af8aa14377429e', 'network': '1'}, {'type': 'erc20-balance-of', 'address': '0xD6DF932A45C0f255f85145f286eA0b292B21C90B', 'network': '137'}, {'type': 'erc20-balance-of', 'address': '0x1d2a0E5EC8E5bBDCA5CB219e649B565d8e5c3360', 'network': 137}, {'type': 'contract-call', 'address': '0xC0259c59D9f980E3b5e2574cD78C9A9Bc6A8E3fc', 'network': '1'}]"
aavegotchi.eth,Aavegotchi,137,vote.aavegotchi.com,[]
aavegotchidao.eth,aavegotchidao,137,,[]
butteryaave.eth,Buttery Aave,10,,"[{'type': 'erc721', 'address': '0xcb580e92c1447e249527097e49633befd13ceeaa', 'network': '10'}]"
chen19991021.eth,AAVE On-Chain Governance,1,,[]
cryptohuang.eth,crAAVE,137,,"[{'type': 'erc20-balance-of', 'address': '0x8df3aad3a84da6b69a4da8aec3ea40d9091b2ac4', 'network': '137'}]"
cryptotan.eth,cryptotanAAVE,137,,"[{'type': 'erc20-balance-of', 'address': '0x8df3aad3a84da6b69a4da8aec3ea40d9091b2ac4', 'network': '137'}]"
elonmusktothemoon.eth,elonAAVE,137,,"[{'type': 'erc20-balance-of', 'address': '0x8df3aad3a84da6b69a4da8aec3ea40d9091b2ac4', 'network': '137'}]"
ensplus.eth,AAVEDAO,137,,"[{'type': 'erc20-balance-of', 'address': '0x8df3aad3a84da6b69a4da8aec3ea40d9091b2ac4', 'network': '137'}]"
ethdown.eth,AAVEDAO,137,,"[{'type': 'erc20-balance-of', 'address': '0x8df3aad3a84da6b69a4da8aec3ea40d9091b2ac4', 'network': '137'}]"
firelaunch.eth,AAVE,137,,"[{'type': 'erc20-balance-of', 'address': '0x8df3aad3a84da6b69a4da8aec3ea40d9091b2ac4', 'network': '137'}]"
fireon1.eth,AAVEF,137,,"[{'type': 'erc20-balance-of', 'address': '0x8df3aad3a84da6b69a4da8aec3ea40d9091b2ac4', 'network': '137'}]"
firetothemoon.eth,fireAAVE,137,,"[{'type': 'erc20-balance-of', 'address': '0x8df3aad3a84da6b69a4da8aec3ea40d9091b2ac4', 'network': '137'}]"
gitcoin001.eth,aavedao,137,,"[{'type': 'erc20-balance-of', 'address': '0x8df3aad3a84da6b69a4da8aec3ea40d9091b2ac4', 'network': '137'}]"
gitcoin002.eth,aave,137,,"[{'type': 'erc20-balance-of', 'address': '0x8df3aad3a84da6b69a4da8aec3ea40d9091b2ac4', 'network': '137'}]"
gitcoin003.eth,aave,137,,"[{'type': 'erc20-balance-of', 'address': '0x8df3aad3a84da6b69a4da8aec3ea40d9091b2ac4', 'network': '137'}]"
gitcoin004.eth,aave,137,,"[{'type': 'erc20-balance-of', 'address': '0x8df3aad3a84da6b69a4da8aec3ea40d9091b2ac4', 'network': '137'}]"
gitcoin005.eth,aave,137,,"[{'type': 'erc20-balance-of', 'address': '0x8df3aad3a84da6b69a4da8aec3ea40d9091b2ac4', 'network': '137'}]"
gitcoin006.eth,aave,137,,"[{'type': 'erc20-balance-of', 'address': '0x8df3aad3a84da6b69a4da8aec3ea40d9091b2ac4', 'network': '137'}]"
gitcoin007.eth,AAVE_F,137,,"[{'type': 'erc20-balance-of', 'address': '0x8df3aad3a84da6b69a4da8aec3ea40d9091b2ac4', 'network': '137'}]"
gitcoin008.eth,AAVE,137,,"[{'type': 'erc20-balance-of', 'address': '0x8df3aad3a84da6b69a4da8aec3ea40d9091b2ac4', 'network': '137'}]"
gitcoin009.eth,AAVE9,137,,"[{'type': 'erc20-balance-of', 'address': '0x8df3aad3a84da6b69a4da8aec3ea40d9091b2ac4', 'network': '137'}]"
gitcoin010.eth,AAVE10,137,,"[{'type': 'erc20-balance-of', 'address': '0x8df3aad3a84da6b69a4da8aec3ea40d9091b2ac4', 'network': '137'}]"
gitcoin011.eth,AAVE11,137,,"[{'type': 'erc20-balance-of', 'address': '0x8df3aad3a84da6b69a4da8aec3ea40d9091b2ac4', 'network': '137'}]"
